message,label
I love to dance,pos
I do not like the taste of this juice,neg
This is an awesome place,neg
He is my sworn enemy,neg
This is an amazingplace,neg
I really enjoy this movie,pos
The food was terrible here,neg
This concert was amazing,pos
I hate waiting in long lines,neg
The service was outstanding,pos
The weather is perfect today,pos
The quality is very poor,neg
This product disappointed me,neg
What a wonderful experience,pos
The staff was very rude,neg
This game is fantastic,pos
This place is awful,neg